Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_DRB1.01.03	0.012	458	0.529	0.555	0.341472477013629	0.998825943195549
All	1	CA2	HLA_DRB1.03	0.14	458	0.087	0.223	0.697435026433799	0.998825943195549
All	1	CA2	HLA_DRB1.03.01	0.139	458	0.092	0.223	0.681624068056776	0.998825943195549
All	1	CA2	HLA_DRB1.03.02	0	458	14436.219	47.673	0.990188709173789	0.998825943195549
All	1	CA2	HLA_DRB1.04	0.155	458	-0.331	0.178	0.0642661345506592	0.998825943195549
All	1	CA2	HLA_DRB1.04.01	0.077	458	-0.641	0.265	0.0159022010298724	0.998825943195549
All	1	CA2	HLA_DRB1.04.02	0.011	458	-1.351	0.685	0.0491407508294825	0.998825943195549
All	1	CA2	HLA_DRB1.04.03	0.006	458	-0.361	1.044	0.729854488061078	0.998825943195549
All	1	CA2	HLA_DRB1.04.04	0.036	458	0.327	0.353	0.355188362986381	0.998825943195549
All	1	CA2	HLA_DRB1.04.05	0.013	458	0.293	0.504	0.560376374602879	0.998825943195549
All	1	CA2	HLA_DRB1.04.07	0.007	458	-0.106	0.825	0.898247026445632	0.998825943195549
All	1	CA2	HLA_DRB1.04.08	0.004	458	-1.759	1.401	0.211171457081624	0.998825943195549
All	1	CA2	HLA_DRB1.07	0.123	458	0.221	0.205	0.282034011816455	0.998825943195549
All	1	CA2	HLA_DRB1.07.01	0.116	458	0.252	0.215	0.242113001706013	0.998825943195549
All	1	CA2	HLA_DRB1.08	0.033	458	-0.047	0.32	0.883999171221177	0.998825943195549
All	1	CA2	HLA_DRB1.08.01	0.028	458	-0.114	0.335	0.733595963696125	0.998825943195549
All	1	CA2	HLA_DRB1.08.03	0.002	458	2.553	1.273	0.0455688526883216	0.998825943195549
All	1	CA2	HLA_DRB1.09	0.012	458	0.147	0.551	0.789610039037238	0.998825943195549
All	1	CA2	HLA_DRB1.09.01	0.012	458	0.147	0.551	0.790178619284374	0.998825943195549
All	1	CA2	HLA_DRB1.10	0.007	458	-1.022	0.94	0.27871728705181	0.998825943195549
All	1	CA2	HLA_DRB1.10.01	0.007	458	-1.022	0.94	0.27871728705181	0.998825943195549
All	1	CA2	HLA_DRB1.11	0.083	458	0.412	0.235	0.0796892829079789	0.998825943195549
All	1	CA2	HLA_DRB1.11.01	0.045	458	0.318	0.342	0.352456784092948	0.998825943195549
All	1	CA2	HLA_DRB1.11.02	0.002	458	0.252	1.132	0.824219129957873	0.998825943195549
All	1	CA2	HLA_DRB1.11.03	0.005	458	0.135	1.172	0.908083757075792	0.998825943195549
All	1	CA2	HLA_DRB1.11.04	0.031	458	0.623	0.387	0.108161833545146	0.998825943195549
All	1	CA2	HLA_DRB1.12	0.018	458	0.111	0.492	0.82084827055196	0.998825943195549
All	1	CA2	HLA_DRB1.12.01	0.018	458	0.112	0.492	0.820566259566462	0.998825943195549
All	1	CA2	HLA_DRB1.13	0.117	458	0.05	0.205	0.807086258965506	0.998825943195549
All	1	CA2	HLA_DRB1.13.01	0.064	458	-0.064	0.263	0.808863929814216	0.998825943195549
All	1	CA2	HLA_DRB1.13.02	0.044	458	0.028	0.329	0.931815468171459	0.998825943195549
All	1	CA2	HLA_DRB1.13.03	0.008	458	0.664	0.667	0.320009439358525	0.998825943195549
All	1	CA2	HLA_DRB1.13.04	0	458	-14198.271	35.637	0.989917073485239	0.998825943195549
All	1	CA2	HLA_DRB1.14	0.036	458	-0.059	0.36	0.870955039537566	0.998825943195549
All	1	CA2	HLA_DRB1.14.01	0.035	458	0.027	0.367	0.940500817147586	0.998825943195549
All	1	CA2	HLA_DRB1.15	0.161	458	-0.139	0.205	0.496668743508301	0.998825943195549
All	1	CA2	HLA_DRB1.15.01	0.138	458	-0.035	0.215	0.87001200659082	0.998825943195549
All	1	CA2	HLA_DRB1.15.02	0.01	458	-0.412	0.611	0.500994529442826	0.998825943195549
All	1	CA2	HLA_DRB1.15.03	0	458	-27.875	4.622	0.617206566277006	0.998825943195549
All	1	CA2	HLA_DRB1.16	0.024	458	-0.089	0.472	0.851337409722257	0.998825943195549
All	1	CA2	HLA_DRB1.16.01	0.024	458	-0.087	0.473	0.854197866890419	0.998825943195549
All	1	CA2	HLA_DRB1.16.02	0	458	-371.859	117.396	0.994714418026424	0.998825943195549
